brown-haired,44, 37, 31,hair
light brown,107,80,60,hair
light brown,90,70,50,hair
blond,163,134,102,hair
red hair,215,125,49,hair
red hair,170,57,18,hair
red hair,110,50,20,hair
black,0,0,0,hair



